margin,tanggal,balance,jml_trx
-15983181,10-05-2014,170023853.81,422
-528298,10-06-2013,126321468.31,312
-1119403,10-07-2013,103815192.9,379
134793,10-08-2013,116474504.38,246
-927865,10-09-2013,131829862.25,423
-50585,10-10-2013,142682582.34,346
1806115,10-11-2012,125475970.12,255
694396,10-11-2013,100053864.9,363
453414,10-12-2012,137209360.77,269
-742195,10-12-2013,112261292.24,373
120708,11-01-2013,151028177.85,315
695541,11-01-2014,134687194.95,370
670048,11-02-2013,168261395.35,228
425967,11-03-2013,179890350.01,298
-527141,11-03-2014,195855900.54,394
87753,11-04-2013,197392289.65,300
-667466,11-04-2014,185950058.73,415
791478.9,11-05-2013,218922840.24,300
-5300782,11-05-2014,183795479.81,333
325231,11-06-2013,126960396.31,317
418331,11-07-2013,104770150.9,260
115634,11-08-2013,116570372.38,178
713876,11-09-2013,134015264.25,405
112428,11-10-2013,142810635.34,339
364223,11-11-2012,125820709.12,249
575683,11-11-2013,100293184.9,350
332103.05,11-12-2012,137486165.82,247
134096,11-12-2013,113540619.24,383
885434,12-01-2013,151578329.85,262
818627,12-01-2014,135676969.95,355
465650,12-02-2013,168543067.35,305
-265251,12-02-2014,105017661.74,435
134456,12-03-2013,180319398.01,370
-519845,12-03-2014,195320504.54,434
2410856,12-04-2013,200379395.65,338
162382,12-04-2014,187217866.73,454
683470.1,12-05-2013,219592011.79,327
9401564,12-05-2014,182923354.81,288
2847210,12-06-2013,129807606.31,298
-730095,12-07-2013,104040055.9,369
597748,12-08-2013,117591145.38,374
-1567140,12-09-2013,134078239.25,365
279552,12-10-2013,143090187.34,355
-416987,12-11-2012,127108899.12,260
313295,12-11-2013,101183276.9,350
49237,12-12-2012,137749261.82,217
-997699,12-12-2013,112617635.24,423
426688,13-01-2013,152007314.85,270
694607,13-01-2014,136371576.95,336
-482376,13-02-2013,168520335.35,326
460220,13-02-2014,106373999.74,406
544423,13-03-2013,181047218.01,253
-1397845,13-03-2014,195690540.54,426
-609054,13-04-2013,199963212.65,318
1030591,13-04-2014,188299877.73,445
-235447.85,13-05-2013,218745944.24,327
-2117134,13-05-2014,178003047.81,508
226116,13-06-2013,130625353.31,305
1321085,13-07-2013,106360101.9,341
-5351078.62,13-08-2013,111830163.38,341
-501721,13-09-2013,133480946.25,364
454166,13-10-2013,143905225.34,278
696656,13-11-2012,128197552.12,233
-82749,13-11-2013,101298172.9,307
-434788,13-12-2013,113821305.24,368
-98278,14-01-2013,151979694.85,301
459688,14-01-2014,136831264.95,434
-1096901,14-02-2013,167966238.35,294
-609290,14-02-2014,105595499.74,409
-854284,14-03-2013,180481912.01,355
-426111,14-03-2014,196431260.54,398
-350791,14-04-2013,200188466.65,315
-527232,14-04-2014,187118693.73,508
223361.03,14-05-2013,219289262.07,336
4339366,14-05-2014,200739306.81,306
3995492,14-06-2013,134824242.31,278
28851,14-07-2013,106426376.9,316
-3223309,14-08-2013,115321890.38,385
1206450,14-09-2013,135478860.25,412
-46022,14-10-2013,141388414.34,378
1782919,14-11-2012,130158088.12,250
680134,14-11-2013,102411560.9,328
432914,14-12-2012,139276065.77,273
462304,14-12-2013,117442974.24,362
152185,15-01-2013,152037877.85,263
549994,15-01-2014,137395909.95,371
56737,15-02-2013,169359909.35,224
1036781,15-02-2014,106087210.74,401
204655,15-03-2013,181102355.01,275
337085,15-03-2014,198313005.54,419
-607280,15-04-2013,199667745.65,352
-1905220,15-04-2014,189915359.73,329
181375.35,15-05-2013,219962125.82,338
-10613821,15-05-2014,186485617.81,491
-2912957,15-06-2013,131968811.31,290
352957,15-07-2013,106557786.9,331
-765450,15-08-2013,116372630.38,365
-150538,15-09-2013,135617653.25,334
0,15-10-2013,,0
-1035005,15-11-2012,129340942.12,248
352797,15-11-2013,102895987.9,315
708104,15-12-2012,140011402.77,251
367765,15-12-2013,118079128.24,356
290874,16-01-2013,151894918.85,296
-82667,16-01-2014,137585518.95,388
886858,16-02-2013,170461457.35,290
102042,16-02-2014,95473262.74,383
1004222,16-03-2013,182340865.01,354
333777,16-03-2014,199819614.54,401
755565,16-04-2013,201829986.65,327
-1480711,16-04-2014,191129922.73,468
422055.6,16-05-2013,221190297.02,324
80157,16-05-2014,183384778.81,534
615837,16-06-2013,132250847.31,262
-18399,16-07-2013,106195146.9,356
360676,16-08-2013,118187772.38,316
-109248.75,16-09-2013,135246041.25,369
-1374085,16-10-2013,140779035.34,321
-144311,16-11-2012,129211352.12,234
228637,16-11-2013,103610310.9,367
178584,16-12-2012,140035318.77,155
-2069867,16-12-2013,117885942.24,409
-11251,17-01-2013,152257551.85,345
1078346,17-01-2014,138820642.95,360
914666,17-02-2013,171457368.35,282
7662,17-02-2014,95570667.74,430
279408,17-03-2013,182629442.01,348
-33152,17-03-2014,200047651.54,420
384774,17-04-2013,202079139.65,331
-330344,17-04-2014,185360819.73,424
1170368.6,17-05-2013,223012743.62,330
7198585,17-05-2014,187928046.81,409
-1848033,17-06-2013,129107793.31,279
-132841,17-07-2013,106380321.9,371
2635829,17-08-2013,121067576.38,328
-1581004,17-09-2013,133536459.25,379
287743,17-10-2013,141111535.34,337
591539,17-11-2012,129914346.12,241
1099582,17-11-2013,104028793.9,287
681858,17-12-2012,140864240.77,242
-2977244,17-12-2013,119697539.24,433
-2235210,18-01-2013,150858407.85,263
772043,18-01-2014,139592685.95,384
-403500,18-02-2013,171106226.35,327
-181743,18-02-2014,95824384.74,427
-1916507,18-03-2013,180851949.01,311
-45617,18-03-2014,200278528.54,418
19744963,18-04-2013,222987985.65,325
1490767,18-04-2014,188597058.73,462
765284,18-05-2013,223771995.82,302
-21798327,18-05-2014,152517914.81,525
613303,18-06-2013,129721096.31,309
-24898310.82,18-07-2013,82333929.08,386
95740.38,18-08-2013,118864807.38,345
-3885731,18-09-2013,130400492.25,338
5093,18-10-2013,141792639.34,358
561950,18-11-2012,130286456.12,220
10605536,18-11-2013,114033303.9,366
585224,18-12-2012,141955374.77,292
-240447,18-12-2013,119560485.24,339
2605866,19-01-2013,153547929.85,308
-447569,19-01-2014,138784525.95,242
-158628,19-02-2013,171264557.35,352
-114545,19-02-2014,96837210.74,391
680219,19-03-2013,183108106.86,305
517182,19-03-2014,202202185.54,427
-19896271,19-04-2013,203287929.65,341
314417,19-04-2014,184411317.73,483
-1078562.2,19-05-2013,222788654.22,303
26708942,19-05-2014,187349277.81,510
-391312.1,19-07-2013,108234390.9,359
628406,19-08-2013,119586076.38,315
-583113,19-09-2013,134800513.25,336
-276859,19-10-2013,141812956.34,369
-210393,19-11-2012,129817351.12,196
411432,19-11-2013,127579552.9,376
-508304,19-12-2012,141637622.77,259
183990,19-12-2013,120432441.24,371
238154,20-01-2013,153843772.85,262
-1604806,20-01-2014,138507862.95,347
573970,20-02-2013,172861403.35,337
-1579557,20-02-2014,94419935.74,427
248114,20-03-2013,183517569.86,284
-958802,20-04-2013,203040576.65,333
306008,20-04-2014,185466807.73,477
-938030.8,20-05-2013,221742079.22,353
-54555009,20-05-2014,145175487.81,552
88166,20-06-2013,130485624.31,266
-119678,20-07-2013,108273769.9,395
1010935.38,20-08-2013,120826393.38,382
407970,20-09-2013,136075952.25,343
1023057,20-10-2013,142869105.34,321
261577,20-11-2012,130070615.12,308
-476322,20-11-2013,127763404.9,335
-569141,20-12-2012,142913078.77,237
493846,20-12-2013,121014702.24,403
249422,21-01-2013,154522394.85,294
29950,21-01-2014,139637363.95,421
-682199,21-02-2013,172432804.35,328
-1240730,21-02-2014,95326465.74,374
-576735,21-03-2013,184127420.86,288
-832886,21-03-2014,202087220.54,402
628623,21-04-2013,204335355.65,277
99730,21-04-2014,184560620.73,540
560677.6,21-05-2013,222302756.82,338
231114,21-06-2013,131004811.31,237
559799,21-07-2013,108940336.9,329
-2399067,21-08-2013,118867867.38,384
138341.25,21-09-2013,135405792.25,384
-123505,21-10-2013,143556173.34,291
684637,21-11-2012,130868311.12,210
-337806,21-11-2013,128528446.9,353
13837,21-12-2012,143431399.77,237
-2676723,21-12-2013,118307642.24,393
-89079,22-01-2013,154888535.85,310
-422409,22-01-2014,139069561.95,399
387658,22-02-2013,173156144.35,289
8212000,22-02-2014,105307067.74,449
212782,22-03-2013,184459150.86,355
-28797008,22-03-2014,174232385.54,380
105854,22-04-2013,204559190.65,295
1214326,22-04-2014,183917162.73,534
238211,22-05-2013,223270649.62,331
20477193,22-05-2014,172195215.81,515
714737,22-06-2013,132529685.31,310
-266323,22-07-2013,109047223.9,389
106175.38,22-08-2013,123619695.38,293
714541,22-09-2013,135980290.25,350
-134866,22-11-2012,131870912.12,270
-799209,22-11-2013,127768049.9,374
-576951,22-12-2012,144099249.77,263
-2869810,22-12-2013,115716861.24,356
-770851,23-01-2013,154264193.85,333
815011,23-01-2014,140444562.95,411
1252450,23-02-2013,174744147.35,335
-2442293,23-02-2014,95388358.74,351
729556,23-03-2013,186427142.86,365
0,23-03-2014,202825082.54,394
3559,23-04-2013,205301745.65,325
-396338,23-04-2014,181588588.73,582
613975.2,23-05-2013,226284496.82,323
32038122,23-05-2014,172584673.81,526
-19050,23-06-2013,132510635.31,298
83141,23-07-2013,109402948.9,380
-1793052,23-08-2013,121963666.38,373
-126253,23-09-2013,135748977.25,375
-82533,23-10-2013,143976864.34,396
549717,23-11-2012,132601304.12,250
360461,23-11-2013,128128510.9,362
-755490.95,23-12-2012,143543219.82,223
-505491,23-12-2013,139686180.24,394
767371,24-01-2013,155731267.85,320
-3306294,24-01-2014,140596488.95,389
817228,24-02-2013,175268803.35,278
-52672,24-02-2014,94316118.74,467
586287,24-03-2013,186926563.86,298
-1446927,24-03-2014,201718296.54,415
565881,24-04-2013,205905070.65,308
5397,24-04-2014,183484350.73,499
-283102.2,24-05-2013,225917566.02,355
21170165,24-05-2014,204059211.81,508
-399342.05,24-06-2013,132111293.26,207
15881,24-07-2013,109845540.9,385
-1054237,24-08-2013,121996758.38,293
-370966.75,24-09-2013,136134032.25,376
182536,24-10-2013,144556807.34,351
1462162,24-11-2012,133869453.12,253
