id_items,items_status_id,items_conditions_id,items_name,created_by,updated_by,items_descr,updated_date,created_date,picture_items_size,picture_items_name,picture_items_location
1,3,2,BOOTH 1,120400473,12345678,Booth 1,0000-00-00,0000-00-00,6435,laptop.jpeg,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_1/
2,2,2,BOOTH 2,120400473,12345678,Booth 2,0000-00-00,0000-00-00,6441,pcwin.jpeg,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_2/
3,2,3,BOOTH 3,120400473,120400473,Booth 3,0000-00-00,0000-00-00,6325,pc_icon.jpg,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_3/
4,2,2,RC 1,120400473,120400473,Rough Cut 1,0000-00-00,0000-00-00,13006,rough_cut.png,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_4/
5,3,2,RC 2,120400473,120400473,Rough Cut 2,0000-00-00,0000-00-00,13006,rough_cut.png,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_5/
6,2,4,RC 3,120400473,120400473,Rough Cut 3,0000-00-00,0000-00-00,13006,rough_cut.png,/dc9144e0ece8bcd25dd3a4dcb7b305a3/linventory_img/data_6/
7,2,2,RC4,131101010,131101010,Rough Cut 4,0000-00-00,0000-00-00,,,!

