post_id,post_text
1,Kelahiran PTIK sebagai perguruan tinggi kedinasan pertama ang tercatat dalam sejarah pendidikan  di Republik Indonesia tidak terlepas dari keberadaan Sekolah Kepolisian Negara Bagian Tinggi Mertoyudan yang selanjutnya menjadi Polisi Akademi (Akademi Polisi) dan diresmikan tanggal 17 Juni 1946 oleh Presiden dan Wakil Presiden Republik  Indonesia.
2,Perkembangan PTIK untuk Masa Depan
3,Forum ini diharapkan mendapat perhatian serius dari semua kalangan
13,Forum ini khusus untuk membahas tentang perkembangan website PTIK Jakarta
14,Forum ini khusus membahas tentang perkembangan teknologi website milik PTIK Jakarta
16,Efektif dan Informatifkah website PTIK yang baru dibuat ini. Dimohon kritik dan sarannya. Trims. 

