id,link,aktif,judul,deskripsi
8,http://www.ittelkom.ac.id,Y,IT Telkom,IT Telkom
3,http://www.menlh.go.id,Y,Kementerian Lingkungan Hidup,<a href=http://climatechange.menlh.go.id>Perubahan Iklim</a><br>\r\n<a href=http://renling.menlh.go.id>Perencanaan Lingkungan</a><br>\r\n<a href=http://www.menlh.go.id/adiwiyata/>Program Adiwiyata</a><br>\r\n<a href=http://langitbiru.menlh.go.id>Asdep Emisi KLH</a><br>\r\n<a href=http://www.menlh.go.id/kalpataru/>Deputi Menteri Negara LH</a><br>\r\n<a href=http://puu.pi.menlh.go.id>Perjanjian Internasional bid. LH</a><br>\r\n<a href=http://b3.menlh.go.id>Pengelolaan bahan & Limbah berbahaya dan beracun</a><br>
4,http://www.dikti.go.id,Y,DIKTI,<a href=http://www.akademik.dikti.go.id>Direktorat Akademik</a><br>\r\n<a href=http://www.dp2m.dikti.go.id>Direktorat Penelitian & Pengabdian</a><br>
6,http://www.ui.ac.id,Y,Universitas Indonesia,Perguruan Tinggi Negeri
7,http://www.kopertis3.go.id,Y,Kopertis Wilayah III,Kopertis Wilayah III
9,http://www.lipi.go.id,Y,LIPI,"Lembaga Ilmu Pengetahuan Indonesia<br>\r\n<a href=""http://katalog.pdii.lipi.go.id"">PDII</a>"

